level,code,description,x_position,page
2,2245,"California Housing Finance Agency (New, 13/14)",139.5800018310547,6
2,2260,"California Housing Finance Agency (Placed within 2240, 13/14)",139.5800018310547,6
2,2265,California Housing Insurance (Merged into 2260) - DO NOT USE,139.5800018310547,6
2,2270,Mortgage Bond Allocation Comm. (Renum to 0968) - DO NOT USE,139.5800018310547,6
2,2290,Department of Insurance (Renum to 0845) - DO NOT USE,139.5800018310547,6
1,2020,"Transportation (Moved from agency 2000, 13/14) - DO NOT USE",99.14399719238281,7
2,2295,Insurance Advisory Office,139.5800018310547,7
2,2300,Riot and Civil Disorders Insurance (Prior year only) (Abolished 01/01/2013),139.5800018310547,7
2,2310,"Office of Real Estate Appraisers (Merged into 1111, 13/14) (Abolished 01/01/2013)",139.5800018310547,7
2,2320,"Dept. of Real Estate (Merged into 1111, 13/14) (Moved from 1111, 18/19)",139.5800018310547,7
2,2340,Office of Savings and Loan (Merged into 2150) (Abolished 01/01/2013),139.5800018310547,7
2,2400,"Department of Managed Health Care (Renum to 4150); (Moved from agency 2000,",139.5800018310547,7
A,2500,"Transportation (New agency, 13/14)",67.58399963378906,7
2,2521,Secretary for Transportation Agency - DOF USE ONLY,139.5800018310547,7
2,2600,"California Transportation Commission (Moved from agency 2000, 13/14)",139.5800018310547,7
2,2620,State Transportation Board,139.5800018310547,7
2,2640,"State Transit Assistance (Moved from agency 2000, 13/14)",139.5800018310547,7
2,2650,Transportation Services for Social Service Recipients (Info. Display Only),139.5800018310547,7
2,2660,"Department of Transportation (Moved from agency 2000, 13/14)",139.5800018310547,7
2,2665,"High Speed Rail Authority (Moved from agency 2000, 13/14)",139.5800018310547,7
2,2667,High-Speed Rail Authority Office of the Inspector General,139.5800018310547,7
2,2670,"Board of Pilot Commissioners for the Bays of San Francisco,",139.5800018310547,7
2,2680,State Highway User's Tax Study Commission - DO NOT USE,139.5800018310547,7
2,2700,"Office of Traffic Safety (Merged into 0521, 13/14) (Abolished 01/01/2013)",139.5800018310547,7
2,2720,"Dept. of the California Highway Patrol (Moved from agency 2000, 13/14)",139.5800018310547,7
2,2740,"Department of Motor Vehicles (Moved from agency 2000, 13/14)",139.5800018310547,7
3,2745,DMV Test Only - DO NOT USE,171.13999938964844,7
2,2760,Traffic Adjudication Board (Abolished 7/85) - DO NOT USE,139.5800018310547,7
2,2780,Stephen P. Teale Data Center,139.5800018310547,7
2,2790,"Housing Finance Agency, California - DO NOT USE",139.5800018310547,7
1,2800,"Statewide Distributed Costs (Renum from 2993); (Moved from agency 2000,",103.58000183105469,7
2,2805,Citizenship and Alien Verification,139.5800018310547,7
2,2810,Miscellaneous Adjustments - BT&H - DOF USE ONLY,139.5800018310547,7
2,2820,Payment of Interest on PMIA Loans - BT&H - DOF USE ONLY,139.5800018310547,7
2,2830,General Obligation Bonds - Transportation (Renum from 2996) (Moved from  agency,139.5800018310547,7
1,2840,State Mandated Local Costs - BT&H (Renum from 2998) - DOF USE ONLY,103.58000183105469,7
1,2905,No Subagency - DO NOT USE,103.58000183105469,7
2,2910,Secretary for Trade and Commerce - DO NOT USE,139.5800018310547,7
2,2915,California State World Trade Commission - DO NOT USE,139.5800018310547,7
2,2920,"Technology, Trade, and Commerce Agency - DO NOT USE",139.5800018310547,7
2,2922,Department of Permit Assistance - DO NOT USE,139.5800018310547,7
2,2925,Miscellaneous Adjustments - T&C - DOF USE ONLY,139.5800018310547,7
1,2993,Statewide Distributed Costs (Renum to 2800) - DO NOT USE,103.58000183105469,7
2,2994,Misc. Adj. – BT&H (Renum to 2810) - DO NOT USE,139.5800018310547,7
2,2995,Payment of Interest on PMIA Loans- BT&H (Renum to 2820)- DO NOT USE,139.5800018310547,7
2,2996,General Obligation Bonds - BT&H (Renum to 2830) - DO NOT USE,139.5800018310547,7
2,2998,State Mandates - BT&H (Renum to 2840) - DO NOT USE,139.5800018310547,7
2,2930,Payment of Interest on PMIA Loans - T&C - DOF USE ONLY,139.5800018310547,8
2,2935,General Obligation Bonds - T&C - DOF USE ONLY,139.5800018310547,8
2,2940,State Mandated Local Costs - T&C - DOF USE ONLY,139.5800018310547,8
A,3000,Natural Resources,67.58399963378906,8
1,3010,No Subagency - DO NOT USE,103.58000183105469,8
2,3030,Secretary of the Natural Resources Agency - DOF USE ONLY,139.5800018310547,8
2,3100,"Exposition Park (Renum from 1100, 09/2012; Retitled 6/18)",139.5800018310547,8
3,3105,"California African-American Museum (Renum from 1105, 09/2012)",180.13999938964844,8
2,3110,Special Resources Programs,139.5800018310547,8
2,3125,California Tahoe Conservancy,139.5800018310547,8
2,3150,California-Tahoe Regional Planning Agency,139.5800018310547,8
2,3180,Geothermal Resources Development Program,139.5800018310547,8
2,3210,Environmental Protection Program,139.5800018310547,8
2,3300,"State Assistance Fund for Enterprise, Business and Industry Development Corporation",139.5800018310547,8
2,3310,CA Alt. Energy Fin. Auth. (Renum to 0971) - DO NOT USE,139.5800018310547,8
2,3320,CA Polluction Contr. Fin. (Renum to 0974) - DO NOT USE,139.5800018310547,8
2,3340,California Conservation Corps,139.5800018310547,8
2,3350,Department of Energy and Conservation - DO NOT USE,139.5800018310547,8
2,3355,Office of Energy Infrastructure Safety,139.5800018310547,8
2,3360,Energy Resources Conservation and Development Commission,139.5800018310547,8
2,3370,Renewable Resource Investment Program,139.5800018310547,8
2,3380,California Integrated Waste Management Board - DO NOT USE,139.5800018310547,8
2,3400,Air Resources Board - DO NOT USE,139.5800018310547,8
2,3410,Humboldt Bay Fund,139.5800018310547,8
2,3430,California Advisory Committee - DO NOT USE,139.5800018310547,8
2,3440,California-Nevada Interstate Compact Commission,139.5800018310547,8
2,3460,Colorado River Board of California,139.5800018310547,8
2,3480,Department of Conservation,139.5800018310547,8
2,3500,Department of Resources Recycling and Recovery,139.5800018310547,8
2,3540,Department of Forestry and Fire Protection,139.5800018310547,8
2,3560,State Lands Commission,139.5800018310547,8
2,3580,Seismic Safety Commission (Renum. to 8690) - DO NOT USE,139.5800018310547,8
2,3600,Department of Fish and Wildlife,139.5800018310547,8
2,3640,Wildlife Conservation Board,139.5800018310547,8
2,3660,Klamath River Compact Commission (Info. Display Only),139.5800018310547,8
2,3680,"Department of Boating and Waterways (Merged into 3790, 13/14)",139.5800018310547,8
2,3720,California Coastal Commission,139.5800018310547,8
2,3760,State Coastal Conservancy,139.5800018310547,8
2,3780,Native American Heritage Commission (Renum. from 8280),139.5800018310547,8
2,3790,Department of Parks and Recreation,139.5800018310547,8
2,3800,California Exposition and State Fair - DO NOT USE,139.5800018310547,8
2,3810,Santa Monica Mountains Conservancy,139.5800018310547,8
2,3815,Salton Sea Conservancy,139.5800018310547,8
2,3820,San Francisco Bay Conservation and Development Commission,139.5800018310547,9
2,3825,San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy,139.5800018310547,9
2,3830,San Joaquin River Conservancy,139.5800018310547,9
2,3835,Baldwin Hills and Urban Watersheds Conservancy (Retitled 8/2023),139.5800018310547,9
2,3840,Delta Protection Commission,139.5800018310547,9
2,3845,San Diego River Conservancy,139.5800018310547,9
2,3850,Coachella Valley Mountains Conservancy,139.5800018310547,9
2,3855,Sierra Nevada Conservancy,139.5800018310547,9
2,3860,Department of Water Resources,139.5800018310547,9
2,3862,Central Valley Flood Protection Board - DO NOT USE,139.5800018310547,9
3,3865,Reclamation Board (For inventory use only),175.5800018310547,9
2,3870,California Bay-Delta Authority (Abolished 11/12/2009),139.5800018310547,9
2,3875,Sacramento-San Joaquin Delta Conservancy,139.5800018310547,9
2,3880,Payment of Interest on PMIA Loans – Resources - DOF USE ONLY,139.5800018310547,9
2,3882,General Obligation Bonds – Resources - DOF USE ONLY,139.5800018310547,9
2,3884,State Mandated Local Costs – Resources - DOF USE ONLY,139.5800018310547,9
2,3885,Delta Stewardship Council,139.5800018310547,9
2,3886,Miscellaneous Adjustments – Resources - DOF USE ONLY,139.5800018310547,9
A,3890,Environmental Protection,67.58399963378906,9
1,3892,No Subagency - DO NOT USE,103.58000183105469,9
2,3895,Secretary for Environmental Protection - DOF USE ONLY,139.5800018310547,9
2,3900,State Air Resources Board,139.5800018310547,9
2,3910,California Integrated Waste Management Board (Abolished 1/1/10); (Moved,139.5800018310547,9
2,3930,"Department of Pesticide Regulation (Board portion merged into 1110, 13/14)",139.5800018310547,9
2,3940,State Water Resources Control Board,139.5800018310547,9
2,3945,Payment of Interest on PMIA Loans - DO NOT USE,139.5800018310547,9
2,3946,General Obligation Bonds - DO NOT USE,139.5800018310547,9
2,3948,State Mandated Local Costs - DO NOT USE,139.5800018310547,9
2,3949,Miscellaneous Adjustments - DO NOT USE,139.5800018310547,9
2,3950,Department of Waste Management - DO NOT USE,139.5800018310547,9
2,3960,Department of Toxic Substances Control,139.5800018310547,9
2,3970,Department of Resources Recycling and Recovery,139.5800018310547,9
2,3980,Office of Environmental Health Hazard Assessment,139.5800018310547,9
2,3985,Special Environmental Programs - DO NOT USE,139.5800018310547,9
2,3990,Department of Air Quality - DO NOT USE,139.5800018310547,9
2,3995,Payment of Interest on PMIA Loans-Environmental Protection,139.5800018310547,9
2,3996,General Obligation Bonds-Environmental Protection,139.5800018310547,9
2,3998,"Mandated Local Costs, State-Environmental Protection",139.5800018310547,9
2,3999,Miscellaneous Adjustments-Environmental Protection,139.5800018310547,9
A,4000,Health and Human Services,67.58399963378906,9
1,4010,No Subagency - DO NOT USE,103.58000183105469,9
2,4020,Secretary for California Health & Human Services Agency -,139.5800018310547,9
2,4080,Office of Educational Liaison - DO NOT USE,139.5800018310547,9
2,4100,State Council on Developmental Disabilities,139.5800018310547,9
2,4110,Area Boards on Developmental Disabilities,139.5800018310547,9
2,4120,Emergency Medical Services Authority,139.5800018310547,10
2,4130,"Health and Human Services  Agency Data Center, California",139.5800018310547,10
2,4140,Department of Health Care Access and Information,139.5800018310547,10
2,4150,Department of Managed Health Care,139.5800018310547,10
2,4160,Total Department of Aging - DO NOT USE,139.5800018310547,10
2,4170,California Department of Aging,139.5800018310547,10
2,4180,Commission on Aging,139.5800018310547,10
2,4185,California Senior Legislature,139.5800018310547,10
2,4200,Department of Alcohol and Drug Programs,139.5800018310547,10
2,4210,Governor's Policy Council on Drug and Alcohol Abuse,139.5800018310547,10
2,4220,Child Development Policy Advisory Committee,139.5800018310547,10
2,4230,Children and Youth Program and Services (Info. Display Only),139.5800018310547,10
2,4240,Department of Health - DO NOT USE,139.5800018310547,10
2,4250,California Children and Families Commission,139.5800018310547,10
2,4260,State Department of Health Care Services (Retitled 12/19/17),139.5800018310547,10
2,4261,Department of Health Services - Headquarters - DO NOT USE,139.5800018310547,10
2,4265,Department of Public Health,139.5800018310547,10
